"文件名","标题","作者","期刊名","年份","卷号","期号","页码","DOI","关键词","摘要"
"Probing Hidden World Molecular Self-Assembly Concentration-Dependent 3D - J Am Chem Soc - Vol136 - 2014 - Lu et al.pdf","Probing a Hidden World of Molecular Self-Assembly: Concentration-Dependent, Three-Dimensional Supramolecular Interconversions","Xiaocun Lu, Xiaopeng Li, Kai Guo, Ting-Zheng Xie, Charles N. Moorefield, Chrys Wesdemiotis, George R. Newkome","Journal of the American Chemical Society","2014","136","52","18149-18155","10.1021/ja511341z","terpyridine, self-assembly, concentration-dependent, supramolecular interconversion, bis-rhombus, tetrahedron, cadmium, 3D architecture","A terpyridine-based, concentration-dependent, facile self-assembly process is reported, resulting in two three-dimensional metallosupramolecular architectures, a bis-rhombus and a tetrahedron, which are formed using a two-dimensional, planar, tris-terpyridine ligand. The interconversion between these two structures is concentration-dependent: at a concentration higher than 12 mg/mL, only a bis-rhombus, composed of eight ligands and 12 Cd2+ ions, is formed; whereas a self-assembled tetrahedron, composed of four ligands and six Cd2+ ions, appears upon sufficient dilution of the tris-terpyridine-metal solution. At concentrations less than 0.5 mg/mL, only the tetrahedron possessing an S4 symmetry axis is detected; upon attempted isolation, it quantitatively reverts to the bis-rhombus."
"Programmed Molecular Engineering Stepwise Dimetallic Metallotriangular Cage - Eur J Org Chem - 2016 - Chakraborty et al.pdf","Programmed Molecular Engineering: Stepwise, Multicomponent Assembly of a Dimetallic Metallotriangulane","Sourav Chakraborty, Rajarshi Sarkar, Kevin Endres, Ting-Zheng Xie, Monoj Ghosh, Charles N. Moorefield, Mary Jane Saunders, Chrys Wesdemiotis, George R. Newkome","European Journal of Organic Chemistry","2016","2016","30","5091-5095","10.1002/ejoc.201600883","terpyridine, metallotriangulane, self-assembly, stepwise assembly, dimetallic, ruthenium, zinc, metallosupramolecular chemistry","The design and construction of a novel terpyridine-based, dimetallic, 2D [4]triangulane architecture are reported. Synthesis of the metallotriangulane is achieved by multicomponent stepwise assembly of six bidentate and three tetradentate monomers. Characterization was accomplished by NMR spectroscopy, mass spectrometry and TEM microscopy."
"Rectangle Square Cage Self-Organization on Au(111) - J Am Chem Soc - Vol127 - 2005 - Yuan et al.pdf","Self-Organization of a Self-Assembled Supramolecular Rectangle, Square, and Three-Dimensional Cage on Au(111) Surfaces","Qun-Hui Yuan, Li-Jun Wan, Hershel Jude, Peter J. Stang","Journal of the American Chemical Society","2005","127","46","16279-16286","10.1021/ja0549300","self-organization, self-assembly, supramolecular rectangle, supramolecular square, three-dimensional cage, Au(111), scanning tunneling microscopy, STM, metallamacrocycle, surface adlayer, nanofabrication","本文利用扫描隧道显微镜(STM)研究了三种自组装超分子物种（矩形、正方形和三维笼状物）在Au(111)表面上的结构和构象。这些超分子组装体吸附在Au(111)表面上，自组织形成具有与其化学结构一致的明确构象的高度有序吸附层。超分子矩形和正方形的面平放在表面上，分别保持其矩形和正方形构象。三维笼状物也在金表面上形成良好有序的吸附层，形成规则的分子行列。当矩形和笼状物混合时，组装体分离成各自的域，未观察到混合吸附层。这些结果为这些组装体的非晶态固态结构提供了直接证据，并提供了它们如何在Au(111)表面上自组织的信息。"
"STM Study of Rectangle Self-Organization on Surfaces - Proc Natl Acad Sci - Vol102 - 2005 - Gong et al.pdf","Mesoscopic Self-Organization of a Self-Assembled Supramolecular Rectangle on Highly Oriented Pyrolytic Graphite and Au(111) Surfaces","Jian-Ru Gong, Li-Jun Wan, Qun-Hui Yuan, Chun-Li Bai, Hershel Jude, Peter J. Stang","Proceedings of the National Academy of Sciences of the United States of America","2005","102","4","971-974","10.1073/pnas.0409145102","metallacyclic macrocycle, scanning tunneling microscopy, molecular adlayer, molecular orientation, self-organization, HOPG, Au(111), supramolecular rectangle, surface nanostructure","本文利用扫描隧道显微镜(STM)研究了自组装超分子金属大环矩形cyclobis[(1,8-bis(trans-Pt(PEt3)2)anthracene)(1,4-bis(4-ethynylpyridyl)benzene](PF6)4在高定向热解石墨(HOPG)和Au(111)表面上的介观自组织行为。矩形分子自发吸附在两种表面上并自组织形成有序的二维吸附层。在HOPG上，矩形的长边竖立在表面上，形成二维分子网络；相比之下，矩形的面平放在Au(111)表面上，形成线性链状结构。高分辨STM图像清晰显示了两种表面上完整的矩形分子，但分子的取向和对称性取决于基底材料。"
"Self-Assembly and Structure of a 3x3 Inorganic Grid from Nine Silver Ions - Angew Chem Int Ed - Vol33 - 1994 - Baxter and Lehn.pdf","Self-Assembly and Structure of a 3 x 3 Inorganic Grid from Nine Silver Ions and Six Ligand Components","Paul N. W. Baxter, Jean-Marie Lehn, Jacqueline Fischer, Marie-Therese Youinou","Angewandte Chemie International Edition","1994","33","22","2284-2287","10.1002/anie.199422841","self-assembly, inorganic grid, silver(I), metallosupramolecular chemistry, bipyridazine, coordination chemistry, 3x3 grid, ion dot","本文描述了无机3x3网格1的自组装，该网格由九个银(I)金属离子和六个三齿配体2组成的阵列构建。配体6,6'-双[2-(6-甲基吡啶基)]-3,3'-联哒嗪2通过多步合成制备。将配体2与三氟甲磺酸银以1:1.5的比例在硝基甲烷中混合，定量得到3x3网格配合物。109Ag NMR谱显示三个共振信号，比例为4:4:1，分别对应位于角位、边中点和中心的银离子，与3x3网格结构一致。X射线晶体学证实了该结构，九个银离子近似共面排列成菱形。该工作开创了金属离子定向多核网格型超分子结构的新领域。"
"Self-Assembly and TWIM-MS Analysis of Hexacadmium Macrocycles - J Am Chem Soc - Vol131 - 2009 - Chan et al.pdf","Self-Assembly and Traveling Wave Ion Mobility Mass Spectrometry Analysis of Hexacadmium Macrocycles","Yi-Tsu Chan, Xiaopeng Li, Monica Soler, Jin-Liang Wang, Chrys Wesdemiotis, George R. Newkome","Journal of the American Chemical Society","2009","131","45","16395-16397","10.1021/ja907262c","terpyridine, self-assembly, hexacadmium macrocycles, TWIM-MS, ion mobility mass spectrometry, cadmium, metallosupramolecular chemistry","Self-assembly of 1,3-di(4'-terpyridinyl)arenes by using the labile tpy-Cd(II)-tpy connectivity afforded access to hexacadmium macrocycles in high yield. These supramolecular assemblies and the corresponding linear polymers were characterized by traveling wave ion mobility mass spectrometry (TWIM-MS), demonstrating the utility of TWIM-MS for differentiation of cyclic and linear isomers, as well as complete deconvolution of isotope patterns of ions with the same m/z value."
"Self-Assembly of Concentric Hexagons and Metal-Organic Nanoribbons - J Am Chem Soc - Vol138 - 2016 - Wang et al (c).pdf","Self-Assembly of Concentric Hexagons and Hierarchical Self-Assembly of Supramolecular Metal-Organic Nanoribbons at the Solid/Liquid Interface","Ming Wang, Kun Wang, Chao Wang, Mingjun Huang, Xin-Qi Hao, Ming-Zhan Shen, Guo-Qing Shi, Zhe Zhang, Bo Song, Alejandro Cisneros, Mao-Ping Song, Bingqian Xu, Xiaopeng Li","Journal of the American Chemical Society","2016","138","29","9258-9268","10.1021/jacs.6b04959","terpyridine, self-assembly, concentric hexagons, metal-organic nanoribbons, hierarchical self-assembly, zinc, STM, TWIM-MS, tetratopic ligand","In an effort to exert more precise control over structural features of supramolecules, a series of giant concentric hexagons were assembled as discrete structures using tetratopic terpyridine (tpy) ligands. In preparation of tetratopic ligand, pyrylium and pyridinium salts chemistry significantly facilitated synthesis. The key compounds were obtained by condensation reactions of pyrylium salts with corresponding primary amine derivatives in good yields. These discrete metallo-supramolecular concentric hexagons were fully characterized by NMR, ESI-MS, TWIM-MS, and TEM, establishing their hexagon-in-hexagon architectures. The combination of different tetratopic ligands also assembled hybrid concentric hexagons with increasing diversity and complexity. Furthermore, these concentric hexagon supramolecules with precisely controlled shapes and sizes were utilized as building blocks to hierarchically self-assemble supramolecular metal-organic nanoribbons (SMON) at solid-liquid interfaces."
"Self-Assembly of Emissive Supramolecular Rosettes (duplicate) - Nat Commun - Vol9 - 2018 - Yin et al.pdf","Self-Assembly of Emissive Supramolecular Rosettes with Increasing Complexity Using Multitopic Terpyridine Ligands","Guang-Qiang Yin, Heng Wang, Xu-Qing Wang, Bo Song, Li-Jun Chen, Lei Wang, Xin-Qi Hao, Hai-Bo Yang, Xiaopeng Li","Nature Communications","2018","9","1","567","10.1038/s41467-018-02959-w","coordination-driven self-assembly, terpyridine, tetraphenylethylene (TPE), aggregation-induced emission (AIE), supramolecular rosettes, white-light emission, metallo-supramolecules","Coordination-driven self-assembly has emerged as a powerful bottom-up approach to construct various supramolecular architectures with increasing complexity and functionality. Tetraphenylethylene (TPE) has been incorporated into metallo-supramolecules to build luminescent materials based on aggregation-induced emission. The authors report three generations of ligands with full conjugation of TPE with 2,2':6',2''-terpyridine (TPY) to construct emissive materials. Due to the bulky size of TPY substituents, the intramolecular rotations of ligands are partially restricted even in dilute solution, thus leading to emission in both solution and aggregation states. Furthermore, TPE-TPY ligands are assembled with Cd(II) to introduce additional restriction of intramolecular rotation and immobilize fluorophores into rosette-like metallo-supramolecules ranging from generation 1-3 (G1-G3). More importantly, the fluorescent behavior of TPE-TPY ligands is preserved in these rosettes, which display tunable emissive properties with respect to different generations, particularly, pure white-light emission for G2."
"Self-Assembly of Interconverting Multinuclear Arrays 4x5-Ag20 Grid - Chem Eur J - Vol6 - 2000 - Baxter and Lehn.pdf","Self-Assembly and Structure of Interconverting Multinuclear Inorganic Arrays: A [4x5]-Ag(I)₂₀ Grid and an Ag(I)₁₀ Quadruple Helicate","Paul N. W. Baxter, Jean-Marie Lehn, Gerhard Baum, Dieter Fenske","Chemistry - A European Journal","2000","6","24","4510-4517","10.1002/1521-3765(20001215)6:24<4510::AID-CHEM4510>3.0.CO;2-P","self-assembly, silver(I), grid complexes, helicates, multinuclear arrays, interconversion, coordination chemistry, supramolecular chemistry, pentatopic ligand","报道了五齿配体 3 与 Ag(I) 的配位导致两种多核结构的同时自组装：包含二十个银离子的 [4x5] 网格型物种 10 和包含十个银离子的四重螺旋体 11。这两种结构可以通过改变条件（浓度、温度等）实现相互转化。通过 X 射线单晶衍射确认了 [4x5]-Ag₂₀ 网格的结构，这是首个非正方形的矩形网格型配合物。"
"Self-Assembly of M30L60 Icosidodecahedron - Chem - Vol1 - 2016 - Fujita et al.pdf","Self-Assembly of M30L60 Icosidodecahedron","Daishi Fujita, Yoshihiro Ueda, Sota Sato, Hiroyuki Yokoyama, Nobuhiro Mizuno, Takashi Kumasaka, Makoto Fujita","Chem","2016","1","1","91-101","10.1016/j.chempr.2016.06.007","M30L60, Icosidodecahedron, Self-assembly, Palladium(II), Molecular capsule, Ligand flexibility, X-ray crystallography, Supramolecular chemistry, Giant metal complex, Virus capsid mimicry","本文报道了首次成功合成M30L60分子正二十面十二面体，该结构由100个组分（30个Pd(II)离子和60个配体）自组装而成，是迄今为止最大的明确定义的球形大分子（直径8.2 nm）。调控配体的柔性是成功自组装的关键。高度复杂但对称有序的结构通过X射线晶体学分析得到确认。该分子复合物的内部空间足够大（157,000 A^3），可以容纳蛋白质。该工作将人工自组装推向了与生物自组装相当的规模。"
"Self-Assembly of Metal-Organic Nanotube with Helical and Propeller Chirality - J Am Chem Soc - Vol137 - 2015 - Yamagishi et al.pdf","Metal-Organic Nanotube with Helical and Propeller-Chiral Motifs Composed of a C10-Symmetric Double-Decker Nanoring","Hiroshi Yamagishi, Takahiro Fukino, Daisuke Hashizume, Tadashi Mori, Yoshihisa Inoue, Takaaki Hikima, Masaki Takata, Takuzo Aida","Journal of the American Chemical Society","2015","137","24","7628-7631","10.1021/jacs.5b04386","metal-organic nanotube, helical chirality, propeller chirality, C10-symmetric nanoring, double-decker, ferrocene, coordination self-assembly, silver(I), circular dichroism, majority rule","本文报道了将非手性二茂铁核心四齿吡啶配体(FcL)与AgBF4在含有手性Bu4N+ (+)-或(-)-薄荷基硫酸根(MS*-)的CH2Cl2/MeCN (7:3 v/v)中共组装，形成""光学活性""金属-有机纳米管(FcNT)，该纳米管由C10对称的双层纳米环组成，包含10个FcL单元和20个Ag+离子。圆二色(CD)光谱和2D X射线衍射(2D XRD)图案表明，FcNT中的金属-有机纳米环以单一手性螺旋堆叠。模型复合物Ag2(FcL')2的晶体结构证实了MS*-与Ag+中心的结合。详细的光谱研究表明，FcNT在其双层芳香阵列中可能同时具有螺旋桨手性扭曲和螺旋手性结构，前者比后者动态性显著更强。两种手性结构基元均对MS*-的对映体过量呈非线性响应（多数规则），但彼此无立体化学影响。"
"Self-Assembly of Polycyclic Supramolecules Using Linear Metal-Organic Ligands - Nat Commun - Vol9 - 2018 - Song et al.pdf","Self-Assembly of Polycyclic Supramolecules Using Linear Metal-Organic Ligands","Bo Song, Sneha Kandapal, Jiali Gu, Keren Zhang, Alex Reese, Yuanfang Ying, Lei Wang, Heng Wang, Yiming Li, Ming Wang, Shuai Lu, Xin-Qi Hao, Xiaohong Li, Bingqian Xu, Xiaopeng Li","Nature Communications","2018","9","1","4575","10.1038/s41467-018-07045-9","coordination-driven self-assembly, terpyridine, linear metal-organic ligands, polycyclic supramolecules, sequence-specific building blocks, fractal architectures, hierarchical assembly","Coordination-driven self-assembly as a bottom-up approach has witnessed a rapid growth in building giant structures in the past few decades. Challenges still remain, however, within the construction of giant architectures in terms of high efficiency and complexity from simple building blocks. Inspired by the features of DNA and protein, which both have specific sequences, the authors design a series of linear building blocks with specific sequences through the coordination between terpyridine ligands and Ru(II). Different generations of polycyclic supramolecules (C1 to C5) with increasing complexity are obtained through the self-assembly with Cd(II), Fe(II) or Zn(II). The assembled structures are characterized via multi-dimensional mass spectrometry analysis as well as multi-dimensional and multinuclear NMR (1H, COSY, NOESY) analysis. Moreover, the largest two cycles C4 and C5 hierarchically assemble into ordered nanoscale structures on a graphite based on their precisely-controlled shapes and sizes with high shape-persistence."
"Self-Assembly of Supramolecular Fractals from Generation 1 to 5 - J Am Chem Soc - Vol140 - 2018 - Wang et al.pdf","Self-Assembly of Supramolecular Fractals from Generation 1 to 5","Lei Wang, Ran Liu, Jiali Gu, Bo Song, Heng Wang, Xin Jiang, Keren Zhang, Xin Han, Xin-Qi Hao, Shi Bai, Ming Wang, Xiaohong Li, Bingqian Xu, Xiaopeng Li","Journal of the American Chemical Society","2018","140","43","14087-14096","10.1021/jacs.8b05530","supramolecular fractals, coordination-driven self-assembly, terpyridine, triphenylamine, Ru(II)-organic building blocks, hierarchical self-assembly, fractal geometry","In the seeking of molecular expression of fractal geometry, chemists have endeavored in the construction of molecules and supramolecules during the past few years, while only a few examples were reported, especially for the discrete architectures. The authors designed and constructed five generations of supramolecular fractals (G1-G5) based on the coordination-driven self-assembly of terpyridine ligands. All the ligands were synthesized from triphenylamine motif, which played a central role in geometry control. Different approaches based on direct Sonogashira coupling and/or <tpy-Ru(II)-tpy> connectivity were employed to prepare complex Ru(II)-organic building blocks. Fractals G1-G5 were obtained in high yields by precise coordination of organic or Ru(II)-organic building blocks with Zn(II) ions. Characterization was accomplished by 1D and 2D NMR spectroscopy, ESI-MS, TWIM-MS, and TEM. Furthermore, the two largest fractals also hierarchically self-assemble into ordered supramolecular nanostructures either at solid/liquid interface or in solution on the basis of their well-defined scaffolds."
"Self-Assembly of Tetra- and Hexanuclear Circular Helicates - J Am Chem Soc - Vol119 - 1997 - Hasenknopf and Lehn.pdf","Self-Assembly of Tetra- and Hexanuclear Circular Helicates","Bernold Hasenknopf, Jean-Marie Lehn, Nedjia Boumediene, Annick Dupont-Gervais, Alain Van Dorsselaer, Boris Kneisel, Dieter Fenske","Journal of the American Chemical Society","1997","119","45","10956-10962","10.1021/ja971204r","circular helicates, self-assembly, iron(II) complexes, bipyridine, anion templating, virtual combinatorial library, dynamic combinatorial chemistry, supramolecular chemistry","三联-联吡啶配体 BI 和 BII 与铁(II) 盐自组装生成具有环形双螺旋结构的多核配合物，称为环形螺旋体 [n]cH（n 阶）。配体 BI 中联吡啶单元通过乙撑桥连接，根据反应中存在的阴离子不同，分别得到五核 [5]cH 或六核 [6]cH 结构。延长的三联-联吡啶配体 BII（含氧丙撑桥）则形成四核环形螺旋体 [4]cH，其结构已通过 X 射线单晶衍射确认。这些三联联吡啶配体和 Fe(II) 离子可能组成的寡聚体组合可视为虚拟组合库的潜在成员，通过动态组合化学，在特定条件下选择性表达出某一特定的环形螺旋体。"
"Self-Assembly of a Circular Double Helicate - Angew Chem Int Ed - Vol35 - 1996 - Hasenknopf and Lehn.pdf","Self-Assembly of a Circular Double Helicate","Bernold Hasenknopf, Jean-Marie Lehn, Boris O. Kneisel, Gerhard Baum, Dieter Fenske","Angewandte Chemie International Edition in English","1996","35","16","1838-1840","10.1002/anie.199618381","helicates, iron compounds, supramolecular chemistry, self-assembly, circular helicate, bipyridine, coordination chemistry","报道了首个环形双螺旋体（circular double helicate）的自组装。三(联吡啶)配体 L 与等摩尔量的 FeCl₂ 在乙二醇中于 170°C 反应，自发且定量地生成环形双螺旋体 cH，即 [(Fe₅L₅)Cl]⁹⁺。该结构由五条配体链缠绕在五个 Fe(II) 离子周围形成双螺旋并闭合成环，中心腔包含一个强结合的氯离子。通过 ¹H NMR 光谱、电喷雾质谱（ESI-MS）和 X 射线单晶衍射确认了该结构。"
"Self-Assembly of a Supramolecular 3D Spoked Bicycle-like Wheel (duplicate) - Angew Chem Int Ed - Vol52 - 2013 - Lu et al.pdf","Self-Assembly of a Supramolecular, Three-Dimensional, Spoked, Bicycle-like Wheel","Xiaocun Lu, Xiaopeng Li, Yan Cao, Anthony Schultz, Jin-Liang Wang, Charles N. Moorefield, Chrys Wesdemiotis, Stephen Z. D. Cheng, George R. Newkome","Angewandte Chemie International Edition","2013","52","30","7728-7731","10.1002/anie.201302362","coordination modes, N ligands, self-assembly, supramolecular chemistry, zinc","The function and properties of materials and biological organisms are not only related to the chemical structure and connectivity, but also through higher-order domain structure. 2,2':6',2''-Terpyridine (tpy) has been a widely used ligand for the creation of supramolecular motifs. Building upon a previously reported 2D tpy-based spoked wheel, the authors redesign the backbone and connectivity components to create a 3D bicycle-like wheel structure. The new construct involves two tris(terpyridine)s (S3) as spokes, six tris(terpyridine) rim units (R3), and twelve zinc(II) metal ions in a precise 2:6:12 ratio. The two central tris-tpy ligands are stacked with a common perpendicular axis to impart the 3D bicycle-wheel motif. Beta-glucose moieties were attached to the rim component R3 to increase solubility. The first supramolecular 3D bicycle-like wheel C1 was successfully synthesized in near quantitative yield through a simple self-assembly procedure utilizing {tpy-Zn(II)-tpy} connectivity."
"Self-Assembly of a Supramolecular 3D Spoked Bicycle-like Wheel (duplicate) - Angew Chem Int Ed - Vol52 - 2013 - Lu et al.pdf","Self-Assembly of a Supramolecular Hexagram and a Supramolecular Pentagram","Zhilong Jiang, Yiming Li, Ming Wang, Bo Song, Kun Wang, Mingyu Sun, Die Liu, Xiaohong Li, Jie Yuan, Mingzhao Chen, Yuan Guo, Xiaoyu Yang, Tong Zhang, Charles N. Moorefield, George R. Newkome, Bingqian Xu, Xiaopeng Li, Pingshan Wang","Nature Communications","2017","8","-","15476","10.1038/ncomms15476","supramolecular hexagram, supramolecular pentagram, terpyridine, metallo-organic ligands (MOLs), ruthenium-terpyridyl complexes, Star of David, coordination-driven self-assembly","Five- and six-pointed star structures occur frequently in nature as flowers, snow-flakes, leaves and so on. Following a stepwise synthesis and self-assembly approach, pentagonal and hexagonal metallosupramolecules possessing star-shaped motifs were prepared based on the careful design of metallo-organic ligands (MOLs). In the MOL design and preparation, robust ruthenium-terpyridyl complexes were employed to construct brominated metallo-organic intermediates, followed by a Suzuki coupling reaction to achieve the required ensemble. Ligand LA (VRu2+X, V = bisterpyridine, X = tetraterpyridine, Ru = Ruthenium) was initially used for the self-assembly of an anticipated hexagram upon reaction with Cd2+ or Fe2+; however, unexpected pentagonal structures were formed, i.e., [Cd5LA5]30+ and [Fe5LA5]30+. In the redesign, LB [V(Ru2+X)2] was synthesized and treated with 60-degree V-shaped bisterpyridine (V) and Cd2+ to create hexagonal hexagram [Cd12V3LB3]36+ along with traces of the triangle [Cd3V3]6+. Finally, a pure supramolecular hexagram [Fe12V3LB3]36+ was successfully isolated in a high yield using Fe2+ with a higher assembly temperature."
"Self-Assembly under Kinetic or Thermodynamic Control Positional Isomers - J Am Chem Soc - Vol142 - 2020 - Wang et al (b).pdf","Self-Assembly of Metallo-Supramolecules under Kinetic or Thermodynamic Control: Characterization of Positional Isomers Using Scanning Tunneling Spectroscopy","Lei Wang, Bo Song, Yiming Li, Lele Gong, Xin Jiang, Ming Wang, Shuai Lu, Xin-Qi Hao, Zhenhai Xia, Yuan Zhang, Saw Wai Hla, Xiaopeng Li","Journal of the American Chemical Society","2020","142","21","9809-9817","10.1021/jacs.0c03459","配位驱动自组装 (Coordination-driven self-assembly), 动力学控制与热力学控制 (Kinetic vs. thermodynamic control), 位置异构体 (Positional isomers), 扫描隧道显微镜/光谱 (STM/STS), 三联吡啶 (Terpyridine), 金属有机超分子 (Metallo-supramolecules), 自识别 (Self-recognition), 密度泛函理论 (DFT)","Coordination-driven self-assembly has been extensively employed to construct a variety of discrete structures as a bottom-up strategy. However, mechanistic understanding regarding whether self-assembly is under kinetic or thermodynamic control is less explored. Herein, the authors use a stepwise strategy which combined self-recognition and self-assembly processes to construct giant metallo-supramolecules with 8 positional isomers in solution. With the help of ultrahigh-vacuum, low-temperature scanning tunneling microscopy and scanning tunneling spectroscopy, they were able to unambiguously differentiate 14 isomers on the substrate which correspond to 8 isomers in solution. Through measurement of 162 structures, the experimental probability of each isomer was obtained and compared with the theoretical probability. Such a comparison along with density functional theory (DFT) calculation suggested that although both kinetic and thermodynamic control existed in this self-assembly, the increased experimental probabilities of isomers compared to theoretical probabilities should be attributed to thermodynamic control."
"Self-assembly of a Hexadecanuclear 4x(2x2)-Pb16 Grid of Grids - Chem Commun - 2003 - Onions and Matthews.pdf","Self-Assembly of a Unique Hexadecanuclear [4 x (2 x 2)]-Pb₁₆ 'Grid of Grids' Type Structure","Stuart T. Onions, Anthony M. Frankin, Peter N. Horton, Michael B. Hursthouse, Craig J. Matthews","Chemical Communications","2003","-","23","2864-2865","10.1039/b308512k","self-assembly, grid structures, lead(II) complexes, hexadecanuclear, supramolecular chemistry, coordination-driven assembly, metallosupramolecular, nanoscale architecture","报道了一种新配体的设计与合成，该配体包含四个线性排列的三齿螯合亚单元，以烷氧基和嘧啶桥连基团构建。该配体与 Pb(CF₃SO₃)₂ 发生自发自组装，产生独特的十六核 [4 x (2 x 2)] ""网格中的网格""（grid of grids）型结构，外部尺寸达 26 A。这是首个经结构表征的完全金属化的 [4 x 4] 方格型组装体。"
"Self-assembly of a Molecular Square via Molecular Triangle - Chem Commun - 1996 - Fujita et al.pdf","On the Structure of Transition-Metal-Linked Molecular Squares","Makoto Fujita, Osamu Sasaki, Takashi Mitsuhashi, Toshiyasu Fujita, Jun Yazaki, Kentaro Yamaguchi, Katsuyuki Ogura","Chemical Communications","1996","-","13","1535-1536","10.1039/CC9960001535","molecular square, molecular triangle, self-assembly, palladium(II), 4,4'-bipyridine, equilibrium, X-ray crystallography, coordination-driven, supramolecular chemistry, dynamic equilibrium","本文确认了由[Pd(en)(NO3)2]与4,4'-联吡啶自组装形成的分子方框1的结构（通过X射线晶体学），并揭示了当4,4'-联吡啶或乙二胺配体被替换为更大的配体py-X-py（X = CH=CH, C≡C, p-C6H4）时，分子方框与分子三角形之间存在动态平衡。浓度效应实验支持了方框/三角形的赋值：高浓度时平衡向方框移动，低浓度时向三角形移动。这一平衡源于热力学因素的权衡：无应变的方框在焓方面更稳定，而三角形因组分更少在熵方面更有利。即使4,4'-联吡啶也可在2,2'-联吡啶替代乙二胺保护基时产生方框/三角形混合物。"
"Separation and Characterization of Metallosupramolecular Libraries by IMMS - J Am Chem Soc - Vol133 - 2011 - Chan et al.pdf","Separation and Characterization of Metallosupramolecular Libraries by Ion Mobility Mass Spectrometry","Xiaopeng Li, Yi-Tsu Chan, Madalis Casiano-Maldonado, Jing Yu, Gustavo A. Carri, George R. Newkome, Chrys Wesdemiotis","Analytical Chemistry","2011","83","17","6667-6674","10.1021/ac201161u","离子淌度质谱 (Ion mobility mass spectrometry, IM-MS), 金属超分子组合库 (Metallosupramolecular libraries), 三联吡啶 (Terpyridine/bis-terpyridine), 锌(II)配合物 (Zn(II) complexes), 电喷雾电离 (Electrospray ionization, ESI), 大环结构 (Macrocycles), 串联质谱 (Tandem mass spectrometry, MS2), 碰撞截面 (Collision cross-sections)","The self-assembly of Zn(II) ions and bis(terpyridine) (tpy) ligands carrying 120 or 180 degree angles between their metal binding sites was utilized to prepare metallosupramolecular libraries with the <tpy-Zn(II)-tpy> connectivity. These combinatorial libraries were separated and characterized by ion mobility mass spectrometry (IM-MS) and tandem mass spectrometry (MS2). The 180-angle building blocks generate exclusively linear complexes, which were used as standards to determine the architectures of the assemblies resulting from the 120-angle ligands. The latter ligand geometry promotes the formation of macrocyclic hexamers, but other n-mers with smaller (n = 5) or larger ring sizes (n = 7-9) were identified as minor products, indicating that the angles in the bis(terpyridine) ligand and within the coordinative tpy-Zn(II)-tpy bonds are not as rigid as previously believed. Macrocyclic and linear isomers were detected in penta- and heptameric assemblies; in the larger octa- and nonameric assemblies, ring-opened conformers with compact and folded geometries were observed in addition to linear extended and cyclic architectures."
"Smart Supramolecular Hydrogels Cross-Linked by Pt(II) Metallacycles via RAFT - J Am Chem Soc - Vol138 - 2016 - Zheng et al.pdf","Construction of Smart Supramolecular Polymeric Hydrogels Cross-linked by Discrete Organoplatinum(II) Metallacycles via Post-Assembly Polymerization","Wei Zheng, Li-Jun Chen, Guang Yang, Bin Sun, Xu Wang, Bo Jiang, Guang-Qiang Yin, Li Zhang, Xiaopeng Li, Minghua Liu, Guosong Chen, Hai-Bo Yang","Journal of the American Chemical Society","2016","138","14","4927-4937","10.1021/jacs.6b01089","Supramolecular hydrogels, Platinum(II) metallacycles, Coordination-driven self-assembly, RAFT polymerization, Post-assembly polymerization, PNIPAAM, LCST, Star supramolecular polymers, Self-healing, Stimuli-responsive","本文首次将配位驱动自组装与后组装可逆加成-断裂链转移（RAFT）聚合反应相结合，制备了一系列以明确定义的金属环为核心的星形超分子聚合物。这些聚合物由于PNIPAAM链段的存在，在水中表现出典型的低临界溶解温度（LCST）行为。所得星形聚合物在室温下无需加热-冷却过程即可进一步形成以离散六边形金属环为交联点的超分子水凝胶。该水凝胶对温度和溴离子表现出刺激响应行为，并具有自修复特性。Pt-N键的动态特性在决定最终软物质的刺激响应和自修复性能中起着重要作用。"
"Stepwise Self-Assembly and Dynamic Exchange of Supramolecular Snowflakes - Isr J Chem - Vol58 - 2018 - Zhang et al.pdf","Stepwise Self-Assembly and Dynamic Exchange of Supramolecular Snowflakes","Zhe Zhang, Heng Wang, Junjuan Shi, Pingshan Wang, Changlin Liu, Ming Wang, Xiaopeng Li","Israel Journal of Chemistry","2019","59","3-4","237-247","10.1002/ijch.201800070","超分子 (Supramolecule), 三联吡啶 (Terpyridine), 自组装 (Self-assembly), 动态配体交换 (Dynamic ligand exchange), 雪花结构 (Snowflake structures), 逐步自组装 (Stepwise self-assembly), 自分选 (Self-sorting)","Snowflake, a highly symmetrical hexagram figure, is challenging to be expressed by chemistry/supramolecular chemistry due to the complex structure. Herein, the authors have constructed super snowflake supramolecules using terpyridine (tpy)-based metal-organic building blocks with <tpy-Ru(II)-tpy> and <tpy-Zn(II)-tpy> connectivities through stepwise strategies in high yield. The structures were characterized by multi-dimensional mass spectrometry and multi-dimensional NMR spectrometry. In order to address the stability/tolerance of the designed super snowflake structures, ligand exchange behaviors between different supramolecules with various arm length were fully investigated by mass spectrometry. The study revealed that three modes could exist in such binary systems, including full exchange, partial exchange and self-sorting (no exchange) depending on the length difference of ligands."
